slot	abstract	alias	aliases	apply_to	asymmetric	broad_mappings	children_are_mutually_disjoint	close_mappings	comments	conforms_to	created_by	created_on	deprecated	deprecated_element_has_exact_replacement	deprecated_element_has_possible_replacement	description	designates_type	disjoint_with	domain	equals_expression	equals_number	equals_string	equals_string_in	exact_mappings	examples	has_member	id_prefixes	identifier	ifabsent	in_language	in_subset	inherited	inlined	inlined_as_list	inverse	irreflexive	is_a	is_class_field	is_grouping_slot	key	last_updated_on	list_elements_ordered	list_elements_unique	locally_reflexive	mappings	maximum_cardinality	maximum_value	minimum_cardinality	minimum_value	mixin	mixins	modified_by	multivalued	narrow_mappings	notes	path_rule	pattern	range	rank	readonly	recommended	reflexive	reflexive_transitive_form_of	related_mappings	relational_role	required	role	see_also	shared	singular_name	slot_group	slot_uri	source	status	string_serialization	structured_pattern	subproperty_of	symmetric	title	todos	transitive	transitive_form_of	values_from
> slot	abstract	alias	aliases	apply_to	asymmetric	broad_mappings	children_are_mutually_disjoint	close_mappings	comments	conforms_to	created_by	created_on	deprecated	deprecated_element_has_exact_replacement	deprecated_element_has_possible_replacement	description	designates_type	disjoint_with	domain	equals_expression	equals_number	equals_string	equals_string_in	exact_mappings	examples	has_member	id_prefixes	identifier	ifabsent	in_language	in_subset	inherited	inlined	inlined_as_list	inverse	irreflexive	is_a	is_class_field	is_grouping_slot	key	last_updated_on	list_elements_ordered	list_elements_unique	locally_reflexive	mappings	maximum_cardinality	maximum_value	minimum_cardinality	minimum_value	mixin	mixins	modified_by	multivalued	narrow_mappings	notes	path_rule	pattern	range	rank	readonly	recommended	reflexive	reflexive_transitive_form_of	related_mappings	relational_role	required	role	see_also	shared	singular_name	slot_group	slot_uri	source	status	string_serialization	structured_pattern	subproperty_of	symmetric	title	todos	transitive	transitive_form_of	values_from
abstract																an abstract class is a high level class or slot that is typically used to group common slots together and cannot be directly instantiated.			definition																																							boolean																									
alias																"the name used for a slot in the context of its owning class.  If present, this is used instead of the actual slot name."			slot_definition																																							string														skos:prefLabel											
aliases																			element																																		TRUE					string														skos:altLabel											
all_members																"the value of the multiavlued slot is a list where all elements conform to the specified values.
this defines a dynamic class with named slots according to matching constraints

E.g to state that all members of a list are between 1 and 10
```
all_members:
  x:
    range: integer
    minimum_value: 10
    maximum_value: 10
```"																	TRUE				list_value_specification_constant																TRUE					slot_definition																testing									
all_of																holds if all of the expressions hold								sh:and													boolean_slot																					expression																testing									
alt_description_source		source														the source of an attributed description			alt_description																					TRUE																		string																									
alt_description_text		description														text of an attributed description			alt_description																																							string								TRUE																	
alt_descriptions																			element														TRUE																				TRUE					alt_description																									
annotations																a collection of tag/text tuples with the semantics of OWL Annotation			annotatable																		extensions																TRUE					annotation																									
any_of																holds if at least one of the expressions hold								sh:or													boolean_slot																					expression																testing									
apply_to																"Used to extend class or slot definitions. For example, if we have a core schema where a gene has two slots for identifier and symbol, and we have a specialized schema for my_organism where we wish to add a slot systematic_name, we can avoid subclassing by defining a class gene_my_organism, adding the slot to this class, and then adding an apply_to pointing to the gene class. The new slot will be 'injected into' the gene class."			definition																																		TRUE					definition																									
attributes									"attributes are an alternative way of defining new slots.  An attribute adds a slot to the global space in the form <class_name>__<slot_name> (lower case, double underscores).  Attributes can be specialized via slot_usage."							Inline definition of slots			class_definition														TRUE																				TRUE					slot_definition																									
base									every root type must have a base|the base is inherited by child types but may be overriden.  Base compatibility is not checked.							python base type that implements this type definition			type_definition													TRUE																																																			
bidirectional			iff|if and only if													"in addition to preconditions entailing postconditions, the postconditions entail the preconditions"																																										boolean																									
boolean_slot	TRUE															A grouping of slots that expression a boolean operator over a list of operands																																					TRUE					expression																testing									
broad mappings																A list of terms from different schemas or terminology systems that have broader meaning.																FALSE					mappings																TRUE					uriorcurie														skos:broadMatch											
class_uri																URI of the class in an RDF environment			class_definition										class_curie																													uriorcurie																									
classes																class definitions			schema_definition														TRUE																				TRUE					class_definition																									
classification_rules																the collection of classification rules that apply to all members of this class			class_definition														TRUE																				TRUE					anonymous_class_expression																testing									
close mappings																A list of terms from different schemas or terminology systems that have close meaning.																FALSE					mappings																TRUE					uriorcurie														skos:closeMatch											
code_set																the identifier of an enumeration code set.			enum_definition																																							uriorcurie																						this should be able to connect to an existing code set from TCCM			
code_set_tag									enum_definition cannot have both a code_set_tag and a code_set_version							the version tag of the enumeration code set			enum_definition																																							string																									
code_set_version									we assume that version identifiers lexically sort in temporal order. Recommend semver when possible							the version identifier of the enumeration code set			enum_definition																																							string																									
comments																notes and comments about an element intended for external consumption			element												owl																						TRUE																			skos:note											
conforms_to																An established standard to which the element conforms.			element																																																					dcterms:conformsTo											
created_by																agent that created the element			element																																							uriorcurie														pav:createdBy											
created_on																time at which the element was created			element																																							datetime														pav:createdOn											
deactivated																a deactivated rule is not executed by the rules engine																																										boolean														sh:deactivated											
default_curi_maps																ordered list of prefixcommon biocontexts to be fetched to resolve id prefixes and inline prefix variables			schema_definition																																		TRUE																														
default_prefix																"default and base prefix -- used for ':' identifiers, @base and @vocab"			schema_definition										default_ns																													string																									
default_range																default slot range to be used if range element is omitted from a slot definition			schema_definition																																				restricted to type definitions for the time being.  Could be broadened if required			type_definition																									
